Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	0.0000	0.0000	infinite	587.05	669.45	-3.3257e+05	1.4680	1.7445	312.92	undefined	9.2180	0.020628	vapor
298.00	0.066667	8.0946e-05	12354.	586.96	669.32	4.1542	1.4682	1.7453	312.82	1.0839	9.2187	0.020634	vapor
298.00	0.13333	0.00016197	6173.9	586.88	669.19	3.9623	1.4684	1.7461	312.71	1.0844	9.2195	0.020640	vapor
298.00	0.20000	0.00024308	4113.9	586.79	669.07	3.8499	1.4686	1.7469	312.60	1.0849	9.2202	0.020646	vapor
298.00	0.26667	0.00032427	3083.9	586.71	668.94	3.7700	1.4688	1.7476	312.49	1.0854	9.2210	0.020652	vapor
298.00	0.33333	0.00040554	2465.9	586.62	668.82	3.7081	1.4690	1.7484	312.38	1.0858	9.2217	0.020658	vapor
298.00	0.40000	0.00048689	2053.8	586.54	668.69	3.6573	1.4692	1.7492	312.27	1.0863	9.2225	0.020664	vapor
298.00	0.46667	0.00056832	1759.6	586.45	668.56	3.6144	1.4695	1.7500	312.16	1.0868	9.2232	0.020670	vapor
298.00	0.53333	0.00064984	1538.8	586.36	668.44	3.5772	1.4697	1.7508	312.06	1.0873	9.2240	0.020676	vapor
298.00	0.60000	0.00073144	1367.2	586.28	668.31	3.5444	1.4699	1.7516	311.95	1.0878	9.2247	0.020682	vapor
298.00	0.66667	0.00081312	1229.8	586.19	668.18	3.5149	1.4701	1.7524	311.84	1.0883	9.2255	0.020688	vapor
298.00	0.73333	0.00089488	1117.5	586.11	668.05	3.4883	1.4703	1.7532	311.73	1.0888	9.2263	0.020694	vapor
298.00	0.80000	0.00097673	1023.8	586.02	667.93	3.4640	1.4705	1.7540	311.62	1.0892	9.2270	0.020700	vapor
298.00	0.86667	0.0010587	944.59	585.93	667.80	3.4415	1.4707	1.7548	311.51	1.0897	9.2278	0.020706	vapor
298.00	0.93333	0.0011407	876.68	585.85	667.67	3.4208	1.4709	1.7556	311.40	1.0902	9.2286	0.020712	vapor
298.00	1.0000	0.0012228	817.82	585.76	667.54	3.4014	1.4711	1.7564	311.29	1.0907	9.2294	0.020718	vapor
298.00	1.0667	0.0013049	766.31	585.68	667.42	3.3833	1.4714	1.7572	311.18	1.0912	9.2302	0.020724	vapor
298.00	1.1333	0.0013872	720.87	585.59	667.29	3.3662	1.4716	1.7580	311.07	1.0917	9.2309	0.020731	vapor
298.00	1.2000	0.0014696	680.48	585.50	667.16	3.3501	1.4718	1.7589	310.96	1.0922	9.2317	0.020737	vapor
298.00	1.2667	0.0015520	644.33	585.42	667.03	3.3349	1.4720	1.7597	310.85	1.0926	9.2325	0.020743	vapor
298.00	1.3333	0.0016345	611.80	585.33	666.90	3.3204	1.4722	1.7605	310.74	1.0931	9.2333	0.020749	vapor
298.00	1.4000	0.0017171	582.37	585.24	666.78	3.3066	1.4724	1.7613	310.63	1.0936	9.2342	0.020755	vapor
298.00	1.4667	0.0017998	555.62	585.16	666.65	3.2934	1.4727	1.7622	310.52	1.0941	9.2350	0.020762	vapor
298.00	1.5333	0.0018826	531.19	585.07	666.52	3.2809	1.4729	1.7630	310.41	1.0946	9.2358	0.020768	vapor
298.00	1.6000	0.0019654	508.79	584.98	666.39	3.2688	1.4731	1.7638	310.30	1.0951	9.2366	0.020774	vapor
298.00	1.6667	0.0020484	488.19	584.90	666.26	3.2572	1.4733	1.7647	310.19	1.0956	9.2374	0.020780	vapor
298.00	1.7333	0.0021314	469.17	584.81	666.13	3.2461	1.4735	1.7655	310.08	1.0961	9.2383	0.020787	vapor
298.00	1.8000	0.0022145	451.56	584.72	666.00	3.2354	1.4737	1.7663	309.97	1.0966	9.2391	0.020793	vapor
298.00	1.8667	0.0022977	435.21	584.63	665.87	3.2250	1.4740	1.7672	309.86	1.0971	9.2399	0.020799	vapor
298.00	1.9333	0.0023810	419.99	584.55	665.74	3.2150	1.4742	1.7680	309.75	1.0975	9.2408	0.020806	vapor
298.00	2.0000	0.0024644	405.78	584.46	665.62	3.2053	1.4744	1.7689	309.64	1.0980	9.2416	0.020812	vapor
298.00	2.0667	0.0025479	392.49	584.37	665.49	3.1960	1.4746	1.7697	309.53	1.0985	9.2425	0.020818	vapor
298.00	2.1333	0.0026314	380.02	584.28	665.36	3.1869	1.4749	1.7706	309.42	1.0990	9.2433	0.020825	vapor
298.00	2.2000	0.0027150	368.32	584.20	665.23	3.1781	1.4751	1.7714	309.31	1.0995	9.2442	0.020831	vapor
298.00	2.2667	0.0027988	357.30	584.11	665.10	3.1695	1.4753	1.7723	309.20	1.1000	9.2450	0.020837	vapor
298.00	2.3333	0.0028826	346.91	584.02	664.97	3.1612	1.4755	1.7732	309.09	1.1005	9.2459	0.020844	vapor
298.00	2.4000	0.0029665	337.10	583.93	664.84	3.1531	1.4758	1.7740	308.98	1.1010	9.2468	0.020850	vapor
298.00	2.4667	0.0030505	327.82	583.84	664.71	3.1453	1.4760	1.7749	308.86	1.1015	9.2476	0.020857	vapor
298.00	2.5333	0.0031346	319.02	583.76	664.58	3.1376	1.4762	1.7758	308.75	1.1020	9.2485	0.020863	vapor
298.00	2.6000	0.0032187	310.68	583.67	664.45	3.1301	1.4764	1.7766	308.64	1.1025	9.2494	0.020870	vapor
298.00	2.6667	0.0033030	302.76	583.58	664.31	3.1228	1.4767	1.7775	308.53	1.1030	9.2503	0.020876	vapor
298.00	2.7333	0.0033873	295.22	583.49	664.18	3.1157	1.4769	1.7784	308.42	1.1035	9.2512	0.020883	vapor
298.00	2.8000	0.0034718	288.04	583.40	664.05	3.1087	1.4771	1.7793	308.31	1.1040	9.2521	0.020889	vapor
298.00	2.8667	0.0035563	281.19	583.31	663.92	3.1019	1.4774	1.7802	308.19	1.1045	9.2530	0.020896	vapor
298.00	2.9333	0.0036409	274.66	583.23	663.79	3.0953	1.4776	1.7811	308.08	1.1050	9.2539	0.020902	vapor
298.00	3.0000	0.0037256	268.41	583.14	663.66	3.0887	1.4778	1.7819	307.97	1.1055	9.2548	0.020909	vapor
298.00	3.0667	0.0038104	262.44	583.05	663.53	3.0824	1.4781	1.7828	307.86	1.1059	9.2557	0.020915	vapor
298.00	3.1333	0.0038953	256.72	582.96	663.40	3.0761	1.4783	1.7837	307.75	1.1064	9.2566	0.020922	vapor
298.00	3.2000	0.0039803	251.24	582.87	663.26	3.0700	1.4785	1.7846	307.63	1.1069	9.2575	0.020929	vapor
