Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
90.368	1.1420e-05	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
90.368	1.1420e-05	0.65153	1.5348	-219.19	-219.19	-1.6547	1.6051	2.3258	2008.7	-0.055899	1291.7	0.25544	0.031663	liquid
90.368	1.1420e-05	4.5702e-08	2.1881e+07	350.60	375.58	4.9270	0.89159	1.1681	180.93	24.989	2.8542	0.0027280	undefined	vapor
145.84	0.066678	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
145.84	0.066678	0.58994	1.6951	-92.107	-92.096	-0.55850	1.4449	2.3233	1606.2	-0.052343	288.47	0.20474	0.022452	liquid
145.84	0.066678	0.00016608	6021.2	402.71	442.85	3.1096	1.0172	1.3008	226.06	7.9912	4.5882	0.0062609	undefined	vapor
153.89	0.13334	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
153.89	0.13334	0.58067	1.7221	-73.322	-73.299	-0.43313	1.4392	2.3418	1546.7	-0.050934	253.21	0.19679	0.021134	liquid
153.89	0.13334	0.00031571	3167.5	410.57	452.81	2.9855	1.0353	1.3221	231.35	6.2813	4.8373	0.0068469	undefined	vapor
159.09	0.20001	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
159.09	0.20001	0.57462	1.7403	-61.122	-61.088	-0.35516	1.4365	2.3551	1508.1	-0.049912	234.14	0.19167	0.020288	liquid
159.09	0.20001	0.00045930	2177.2	415.65	459.19	2.9152	1.0461	1.3357	234.57	5.5177	4.9975	0.0072391	undefined	vapor
163.03	0.26668	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
