Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
270.00	22.100	407.72	0.0024527	232.16	237.58	1.0284	1.6053	3.4907	608.92	0.051141	60.860	0.093083	0.0036264	42.089	0.023759	498.83	551.33	2.1905	1.5954	2.8147	237.02	1.8700	9.0688	0.022504
270.05	22.125	407.61	0.0024533	232.31	237.74	1.0290	1.6055	3.4924	608.48	0.051298	60.821	0.093047	0.0036204	42.146	0.023727	498.83	551.33	2.1902	1.5958	2.8170	236.99	1.8696	9.0719	0.022518
270.09	22.151	407.50	0.0024540	232.46	237.90	1.0296	1.6057	3.4941	608.05	0.051456	60.783	0.093010	0.0036145	42.202	0.023695	498.84	551.33	2.1900	1.5962	2.8194	236.95	1.8691	9.0750	0.022532
270.14	22.176	407.40	0.0024546	232.61	238.06	1.0301	1.6059	3.4959	607.61	0.051613	60.744	0.092973	0.0036085	42.259	0.023663	498.85	551.33	2.1898	1.5966	2.8218	236.91	1.8686	9.0781	0.022547
270.19	22.202	407.29	0.0024553	232.76	238.22	1.0307	1.6061	3.4976	607.17	0.051771	60.706	0.092936	0.0036026	42.316	0.023632	498.86	551.32	2.1895	1.5970	2.8242	236.88	1.8682	9.0812	0.022561
270.23	22.227	407.18	0.0024559	232.92	238.37	1.0312	1.6063	3.4994	606.73	0.051930	60.667	0.092899	0.0035966	42.373	0.023600	498.86	551.32	2.1893	1.5974	2.8266	236.84	1.8677	9.0844	0.022576
270.28	22.253	407.08	0.0024565	233.07	238.53	1.0318	1.6065	3.5011	606.30	0.052089	60.629	0.092862	0.0035907	42.430	0.023568	498.87	551.32	2.1891	1.5978	2.8290	236.80	1.8672	9.0875	0.022590
270.33	22.278	406.97	0.0024572	233.22	238.69	1.0324	1.6067	3.5029	605.86	0.052248	60.591	0.092826	0.0035847	42.487	0.023537	498.88	551.31	2.1888	1.5982	2.8314	236.77	1.8668	9.0906	0.022605
270.37	22.304	406.86	0.0024578	233.37	238.85	1.0329	1.6069	3.5046	605.42	0.052407	60.552	0.092789	0.0035788	42.544	0.023505	498.88	551.31	2.1886	1.5987	2.8338	236.73	1.8663	9.0937	0.022619
270.42	22.330	406.75	0.0024585	233.52	239.01	1.0335	1.6071	3.5064	604.98	0.052567	60.514	0.092752	0.0035729	42.601	0.023473	498.89	551.31	2.1884	1.5991	2.8362	236.69	1.8659	9.0968	0.022634
270.47	22.355	406.65	0.0024591	233.67	239.17	1.0341	1.6073	3.5081	604.54	0.052727	60.475	0.092715	0.0035669	42.659	0.023442	498.90	551.30	2.1881	1.5995	2.8386	236.66	1.8654	9.1000	0.022648
270.51	22.381	406.54	0.0024598	233.82	239.33	1.0346	1.6075	3.5099	604.10	0.052888	60.437	0.092678	0.0035610	42.716	0.023410	498.91	551.30	2.1879	1.5999	2.8411	236.62	1.8649	9.1031	0.022663
270.56	22.407	406.43	0.0024604	233.97	239.49	1.0352	1.6078	3.5117	603.66	0.053049	60.398	0.092641	0.0035550	42.773	0.023379	498.91	551.30	2.1877	1.6003	2.8435	236.58	1.8645	9.1063	0.022677
270.61	22.432	406.32	0.0024611	234.12	239.65	1.0358	1.6080	3.5134	603.23	0.053210	60.360	0.092605	0.0035491	42.831	0.023348	498.92	551.29	2.1874	1.6007	2.8459	236.55	1.8640	9.1094	0.022692
270.65	22.458	406.21	0.0024618	234.28	239.80	1.0363	1.6082	3.5152	602.79	0.053372	60.322	0.092568	0.0035432	42.889	0.023316	498.93	551.29	2.1872	1.6011	2.8484	236.51	1.8636	9.1126	0.022707
270.70	22.484	406.11	0.0024624	234.43	239.96	1.0369	1.6084	3.5170	602.35	0.053534	60.283	0.092531	0.0035372	42.946	0.023285	498.93	551.29	2.1870	1.6016	2.8509	236.47	1.8631	9.1157	0.022721
270.75	22.510	406.00	0.0024631	234.58	240.12	1.0375	1.6086	3.5188	601.91	0.053696	60.245	0.092494	0.0035313	43.004	0.023254	498.94	551.28	2.1867	1.6020	2.8533	236.43	1.8626	9.1189	0.022736
270.79	22.536	405.89	0.0024637	234.73	240.28	1.0380	1.6088	3.5206	601.47	0.053859	60.207	0.092457	0.0035254	43.062	0.023222	498.94	551.28	2.1865	1.6024	2.8558	236.40	1.8622	9.1220	0.022751
270.84	22.561	405.78	0.0024644	234.88	240.44	1.0386	1.6090	3.5224	601.03	0.054022	60.168	0.092420	0.0035195	43.120	0.023191	498.95	551.27	2.1862	1.6028	2.8583	236.36	1.8617	9.1252	0.022765
270.89	22.587	405.67	0.0024650	235.03	240.60	1.0392	1.6092	3.5242	600.59	0.054185	60.130	0.092384	0.0035135	43.178	0.023160	498.96	551.27	2.1860	1.6032	2.8608	236.32	1.8613	9.1284	0.022780
270.93	22.613	405.57	0.0024657	235.19	240.76	1.0397	1.6094	3.5260	600.15	0.054349	60.092	0.092347	0.0035076	43.236	0.023129	498.96	551.26	2.1858	1.6036	2.8632	236.29	1.8608	9.1315	0.022795
270.98	22.639	405.46	0.0024664	235.34	240.92	1.0403	1.6096	3.5278	599.71	0.054513	60.053	0.092310	0.0035017	43.294	0.023098	498.97	551.26	2.1855	1.6041	2.8657	236.25	1.8603	9.1347	0.022810
271.03	22.665	405.35	0.0024670	235.49	241.08	1.0408	1.6098	3.5296	599.27	0.054677	60.015	0.092273	0.0034958	43.353	0.023067	498.98	551.26	2.1853	1.6045	2.8682	236.21	1.8599	9.1379	0.022824
271.07	22.691	405.24	0.0024677	235.64	241.24	1.0414	1.6100	3.5314	598.83	0.054842	59.977	0.092236	0.0034899	43.411	0.023036	498.98	551.25	2.1851	1.6049	2.8708	236.17	1.8594	9.1411	0.022839
